date,return,position_date
2013-12-24,0.0031909293449406545,2013-12-23
2013-12-26,0.0030166708950501104,2013-12-24
2013-12-27,-0.0019833620836613945,2013-12-26
2013-12-30,0.0019738743334169933,2013-12-27
2013-12-31,0.0027966517355636714,2013-12-30
2014-01-02,-0.015200852832199975,2013-12-31
2014-01-03,-0.0009399290690085817,2014-01-02
2014-01-06,-0.002451549970242898,2014-01-03
2014-01-07,0.01248733727334713,2014-01-06
2014-01-08,-0.001994147445002882,2014-01-07
2014-01-09,-0.0015157542495706081,2014-01-08
2014-01-10,0.001526342625870741,2014-01-09
2014-01-13,-0.009471682968271583,2014-01-10
2014-01-14,0.004871851140943727,2014-01-13
2014-01-15,0.008928954117915984,2014-01-14
2014-01-16,0.005418677265500575,2014-01-15
2014-01-17,-0.0007967991653418148,2014-01-16
2014-01-21,0.006776196221867796,2014-01-17
2014-01-22,0.0008793537688971018,2014-01-21
2014-01-23,-0.010091382952352013,2014-01-22
2014-01-24,-0.032191188187400445,2014-01-23
2014-01-27,-0.004203322229548379,2014-01-24
2014-01-28,0.011274331878257054,2014-01-27
2014-01-29,-0.01394836582447712,2014-01-28
2014-01-30,0.014560748658314424,2014-01-29
2014-01-31,0.007313911501196648,2014-01-30
2014-02-03,-0.013452903567187962,2014-01-31
2014-02-04,-0.0024114194138906806,2014-02-03
